Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
Binance Accelerator Program - Data Analyst (Risk),Binance,"Python, Sql",Remote,Remote,Remote,Not Applicable
Business Analyst,Canadian Nuclear Laboratories,"Power Bi, Power BI, Excel",Remote,Remote,Remote,Not Applicable
Geophysicist/Data Analyst,Sander Geophysics Limited,Unknown,Ottawa,ON,In Person,Not Applicable
Business Intelligence Data Engineer,"Maximus Services, LLC","Fabric, Power BI, Sql, Machine Learning, Genesys, Python, R, Database",Toronto,ON,In Person,Not Applicable
"BUSINESS INTELLIGENCE SPECIALIST, FT",Niagara Health System,"Azure, Power BI, SQL, Aws",Niagara,ON,In Person,Not Applicable
Continuous Improvement Analyst,IMP Group,Excel,Abbotsford,BC,In Person,Not Applicable
IT Business Process Analyst,Ground Effects,"C#, Javascript, Sql, Database",Windsor,ON,In Person,Not Applicable
Computer Programmer/Analyst,The City of Vancouver,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript",Vancouver,BC,In Person,Not Applicable
"Senior Developer, Business Intelligence",Ontario Health,"Power Bi, Power Platform, Ssis, Sql, Big Data, Sas, Ssrs, Azure, Python, R",Toronto,ON,In Person,Senior
OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",Toronto,ON,In Person,Senior
OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",Toronto,ON,In Person,Senior
OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",Toronto,ON,In Person,Senior
Business Analyst/Quality Assurance Analyst,DLL,"Jira, Excel, Reason, Database",Burlington,ON,In Person,Not Applicable
Capital & Maintenance Program Analyst,Toronto Hydro,"Gap, Vba, Excel, Sql",Toronto,ON,In Person,Not Applicable
Computer Programmer/Analyst,The City of Vancouver,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript",Vancouver,BC,In Person,Not Applicable
Senior Policy Analyst,Insurance Council of BC,Unknown,Vancouver,BC,In Person,Senior
Business Operations Analyst (1 year Contract),TMX Group Limited,Database,Toronto,ON,In Person,Not Applicable
Senior Business Systems Analyst,Royal Bank of Canada,"Sql, Big Data, Gap, Jira, Database",Toronto,ON,In Person,Senior
Research Analyst - Translational Addiction Research Laboratory,Centre for Addiction and Mental Health,Database,Toronto,ON,In Person,Not Applicable
Payroll Analyst,Cenovus Energy,Excel,Calgary,AB,In Person,Not Applicable
Lead Business Analyst,Royal Bank of Canada,"Gap, Jira, Sql",Vancouver,BC,In Person,Not Applicable
Data Analyst,Toronto Transit Commission,"Sql, Tableau, Python, Database, Excel, Power Bi, R",Toronto,ON,In Person,Not Applicable
